criterion,max_depth,min_samples_split,min_samples_leaf,recall,precision,f1
entropy,,2,1,0.387,0.3638928067700987,0.3750908650351345
entropy,,2,2,0.293,0.37396298659859606,0.3285674236052705
entropy,,2,3,0.27,0.3225806451612903,0.2939575394665215
entropy,,2,4,0.2555,0.33751651254953763,0.2908366533864542
entropy,,2,5,0.248,0.297719087635054,0.270594653573377
entropy,,3,1,0.3745,0.37924050632911394,0.3768553459119497
entropy,,3,2,0.2955,0.36776602364654637,0.3276961463820349
entropy,,3,3,0.2725,0.32479141835518477,0.2963567156063078
entropy,,3,4,0.2525,0.3389261744966443,0.28939828080229224
entropy,,3,5,0.255,0.30177514792899407,0.2764227642276423
entropy,,4,1,0.355,0.35678391959798994,0.3558897243107769
entropy,,4,2,0.296,0.3713927227101631,0.32943795214245963
entropy,,4,3,0.273,0.3291139240506329,0.2984421973216726
entropy,,4,4,0.259,0.3419141914191419,0.29473684210526313
entropy,,4,5,0.2485,0.29653937947494036,0.27040261153427636
entropy,,5,1,0.346,0.3451371571072319,0.3455680399500624
entropy,,5,2,0.281,0.353904282115869,0.3132664437012263
entropy,,5,3,0.268,0.32347616173808086,0.29313645064260324
entropy,,5,4,0.2515,0.3339973439575033,0.286936679977182
entropy,,5,5,0.253,0.30172927847346454,0.27522436769105246
entropy,2,1,1,0.0715,0.3184855233853007,0.11678236014699878
entropy,2,1,2,0.072,0.32286995515695066,0.11774325429272281
entropy,2,1,3,0.037,0.1962864721485411,0.06226335717290703
entropy,2,1,4,0.0475,0.22458628841607564,0.07841518778373917
entropy,2,1,5,0.101,0.3247588424437299,0.15408085430968727
entropy,2,2,1,0.0725,0.3215077605321508,0.11831905344757242
entropy,2,2,2,0.0735,0.3259423503325942,0.11995104039167687
entropy,2,2,3,0.0395,0.20466321243523317,0.06621961441743504
entropy,2,2,4,0.049,0.23113207547169812,0.08085808580858085
entropy,2,2,5,0.1,0.32,0.1523809523809524
entropy,2,3,1,0.075,0.33112582781456956,0.12229922543823889
entropy,2,3,2,0.07,0.319634703196347,0.11484823625922888
entropy,2,3,3,0.036,0.18947368421052632,0.06050420168067227
entropy,2,3,4,0.045,0.21739130434782608,0.07456503728251865
entropy,2,3,5,0.096,0.3137254901960784,0.14701378254211334
entropy,2,4,1,0.0785,0.3369098712446352,0.1273317112733171
entropy,2,4,2,0.074,0.3224400871459695,0.12037413582757218
entropy,2,4,3,0.0375,0.19788918205804748,0.06305170239596469
entropy,2,4,4,0.044,0.21256038647342995,0.07290803645401822
entropy,2,4,5,0.105,0.3333333333333333,0.1596958174904943
entropy,2,5,1,0.077,0.3355119825708061,0.1252541683611224
entropy,2,5,2,0.0725,0.3251121076233184,0.11856091578086672
entropy,2,5,3,0.037,0.19525065963060687,0.062211013030685165
entropy,2,5,4,0.05,0.2331002331002331,0.08233841086867023
entropy,2,5,5,0.099,0.32247557003257327,0.1514919663351186
entropy,5,1,1,0.2925,0.36380597014925375,0.32427937915742794
entropy,5,1,2,0.285,0.3920220082530949,0.33005211349160396
entropy,5,1,3,0.2545,0.33978638184245663,0.2910234419668382
entropy,5,1,4,0.2385,0.32919254658385094,0.2766019135981444
entropy,5,1,5,0.247,0.29866989117291415,0.27038861521620144
entropy,5,2,1,0.297,0.36825790452572843,0.3288126210905065
entropy,5,2,2,0.2845,0.3878663940013633,0.3282376694548601
entropy,5,2,3,0.259,0.34214002642007924,0.2948207171314741
entropy,5,2,4,0.242,0.3315068493150685,0.27976878612716766
entropy,5,2,5,0.2415,0.296137339055794,0.26604241255852384
entropy,5,3,1,0.293,0.3683218101822753,0.3263714842662211
